"VG"	"Vds=.1"	"Vds=1"	"Vds=10"	"Vds=20"	"Vds=30"
-1.00E+01	9.25E-12	2.66E-11	1.95E-10	3.72E-09	2.19E-08
-9.00E+00	7.40E-13	1.39E-11	1.40E-10	2.62E-09	1.70E-08
-8.00E+00	8.45E-12	1.48E-11	1.06E-10	1.81E-09	1.32E-08
-7.00E+00	1.07E-11	2.04E-11	8.98E-11	1.29E-09	1.01E-08
-6.00E+00	8.24E-12	1.90E-11	6.82E-11	8.76E-10	7.63E-09
-5.00E+00	1.38E-11	-2.60E-13	4.24E-11	6.07E-10	5.72E-09
-4.00E+00	1.29E-12	1.44E-11	3.30E-11	4.07E-10	4.25E-09
-3.00E+00	-2.74E-12	1.12E-11	2.25E-11	2.72E-10	3.15E-09
-2.00E+00	1.26E-12	7.60E-13	3.43E-11	1.88E-10	2.30E-09
-1.00E+00	5.11E-12	-6.88E-12	1.88E-11	2.24E-10	1.96E-09
0.00E+00	7.77E-12	8.95E-12	3.23E-11	7.92E-10	3.53E-09
1.00E+00	-3.18E-12	2.99E-11	1.78E-10	2.51E-09	8.06E-09
2.00E+00	3.75E-11	2.07E-10	7.71E-10	6.10E-09	1.61E-08
3.00E+00	2.02E-10	8.21E-10	2.84E-09	1.37E-08	2.92E-08
4.00E+00	5.08E-10	2.38E-09	8.33E-09	2.45E-08	4.94E-08
5.00E+00	9.79E-10	5.34E-09	1.96E-08	4.39E-08	7.99E-08
6.00E+00	1.63E-09	9.88E-09	3.86E-08	7.07E-08	1.23E-07
7.00E+00	2.40E-09	1.59E-08	6.81E-08	1.05E-07	1.83E-07
8.00E+00	3.20E-09	2.38E-08	1.11E-07	1.62E-07	2.61E-07
9.00E+00	3.95E-09	3.26E-08	1.71E-07	2.25E-07	3.63E-07
1.00E+01	4.67E-09	4.23E-08	2.50E-07	3.01E-07	4.86E-07
1.10E+01	5.37E-09	5.24E-08	3.49E-07	3.98E-07	6.39E-07
1.20E+01	6.03E-09	6.27E-08	4.73E-07	5.22E-07	8.33E-07
1.30E+01	6.57E-09	7.34E-08	6.04E-07	6.74E-07	1.04E-06
1.40E+01	7.04E-09	8.43E-08	7.56E-07	8.57E-07	1.29E-06
1.50E+01	7.52E-09	9.46E-08	9.21E-07	1.08E-06	1.56E-06
1.60E+01	7.94E-09	1.05E-07	1.10E-06	1.32E-06	1.88E-06
1.70E+01	8.31E-09	1.15E-07	1.29E-06	1.59E-06	2.26E-06
1.80E+01	8.64E-09	1.25E-07	1.49E-06	1.91E-06	2.64E-06
1.90E+01	8.96E-09	1.35E-07	1.71E-06	2.27E-06	3.06E-06
2.00E+01	9.21E-09	1.44E-07	1.93E-06	2.68E-06	3.52E-06
2.10E+01	9.46E-09	1.54E-07	2.16E-06	3.12E-06	3.99E-06
2.20E+01	9.72E-09	1.63E-07	2.39E-06	3.59E-06	4.53E-06
2.30E+01	9.91E-09	1.72E-07	2.62E-06	4.09E-06	5.09E-06
2.40E+01	1.01E-08	1.81E-07	2.87E-06	4.62E-06	5.73E-06
2.50E+01	1.03E-08	1.89E-07	3.11E-06	5.18E-06	6.41E-06
2.60E+01	1.04E-08	1.97E-07	3.37E-06	5.76E-06	7.14E-06
2.70E+01	1.05E-08	2.05E-07	3.62E-06	6.36E-06	7.94E-06
2.80E+01	1.07E-08	2.13E-07	3.88E-06	6.97E-06	8.96E-06
2.90E+01	1.08E-08	2.20E-07	4.14E-06	7.58E-06	9.96E-06
3.00E+01	1.09E-08	2.27E-07	4.40E-06	8.23E-06	1.10E-05
